key,role,comparison,measure,n_scenarios,n_nonzero,rank_biserial,rank_biserial_ci_low,rank_biserial_ci_high,cohens_dz,cohens_dz_ci_low,cohens_dz_ci_high,hodges_lehmann,hodges_lehmann_ci_low,hodges_lehmann_ci_high,p_value,p_holm,family_size,significant,not_testable,predicted_direction,observed_direction,planned_in_advance,label,caveats
primary_nurse_A_vs_B,primary_family,A vs B,nurse_composite,60,56,-0.8659147869674185,-0.9642857142857143,-0.7194759626338575,-0.962103411472804,-1.2726149941456673,-0.7190389288468434,-0.6666666666666665,-0.8333333333333335,-0.4666666666666669,1.7714383347528902e-08,1.2400068343270232e-07,8,True,False,<,<,True,EXPLORATORY (judge validation study has not run),
secondary1_four_habits_A_vs_B,primary_family,A vs B,four_habits_composite,60,59,-0.7440677966101695,-0.9158388984168655,-0.5254237288135594,-0.8445921642009837,-1.3259831622737477,-0.5133102676345094,-0.7083333333333334,-0.9166666666666665,-0.5,6.780717791284003e-07,4.068430674770402e-06,8,True,False,<,<,True,EXPLORATORY (judge validation study has not run),
secondary2_nurse_B_vs_C,primary_family,B vs C,nurse_composite,60,59,0.2135593220338983,-0.09072404371584687,0.4881497175141241,0.19939900858824017,-0.05815569137860058,0.4595464997694227,0.10000000000000026,-0.06666666666666654,0.26666666666666694,0.1547548985367164,0.3095097970734328,8,False,False,<,>,True,EXPLORATORY (judge validation study has not run),
secondary3_nurse_C_vs_LC,primary_family,C vs LC,nurse_composite,60,58,-0.4108708357685564,-0.6535632024221286,-0.13278688524590163,-0.36138372274249414,-0.6255331269910624,-0.1123121591061738,-0.23333333333333361,-0.4222222222222225,-0.06666666666666676,0.006571585476450606,0.019714756429351818,8,True,False,>,<,True,EXPLORATORY (judge validation study has not run; CONFOUNDED BY SERVING STACK; THE REDUCED FORM OF THE QUESTION (D7)),"CONFOUNDED BY SERVING STACK. The LC arm was served by vLLM and condition C by Ollama: a GGUF against HF safetensors, different quantisation, different sampling defaults, different hardware, and per D13 a different realised context pack. No analysis can separate the architecture from the stack that served it, so a difference here is not attributable to long context versus retrieval. | THE REDUCED FORM OF THE QUESTION (D7). The corpus does not fit the window: the production pack admits 116/116 knowledge base entries but only 151/471 chunks. LC is a fixed, query-independent sample, not the whole corpus, and any selection rule is itself a form of retrieval. This asks whether query-dependent selection beats a fixed context — not whether curated retrieval beats stuffing everything in, which is the question build plan v3 §3 posed and this run cannot answer."
secondary4_naturalness_A_vs_B,primary_family,A vs B,naturalness,60,36,-0.6261261261261262,-0.871983848877302,-0.31462746764736504,-0.46371776822213784,-0.6865787156660318,-0.24576096880818615,-0.16666666666666674,-0.33333333333333326,0.0,0.0009356158789513843,0.0037424635158055373,8,True,True,>,<,True,"EXPLORATORY (judge validation study has not run; the judge did not resolve naturalness on this run, so this comparison is untestable rather than null)",
secondary5_ritualistic_A_vs_B,primary_family,A vs B,ritualistic,60,4,-0.2,-1.0,1.0,-0.04844437632433991,-0.24947201630610039,0.22749590318269974,0.0,0.0,0.0,0.8501067391385259,0.8501067391385259,8,False,True,>,<,True,"EXPLORATORY (judge validation study has not run; the judge did not resolve ritualistic on this run, so this comparison is untestable rather than null)",
secondary6_nurse_A_vs_A2,primary_family,A vs A2,nurse_composite,60,59,-0.7305084745762712,-0.887010520163647,-0.5327600818234951,-0.741338424037745,-1.005199710900586,-0.5243653494942243,-0.4,-0.5666666666666668,-0.2666666666666666,1.0789184657723133e-06,5.3945923288615664e-06,8,True,False,=,<,True,EXPLORATORY (judge validation study has not run),
secondary7_nurse_B_vs_D,primary_family,B vs D,nurse_composite,60,59,0.992090395480226,0.967270601987142,1.0,1.5645871368719788,1.2981013934338297,1.9455648462868766,1.113888888888889,0.9333333333333332,1.3000000000000003,3.496962501224058e-11,2.7975700009792464e-10,8,True,False,>,>,True,EXPLORATORY (judge validation study has not run),
primary_nurse_A_vs_B,equity_subgroup,A vs B,nurse_composite,20,18,-0.9415204678362573,-1.0,-0.7619047619047619,-1.2040657805191404,-2.0714605403970876,-0.7409086550233768,-0.65,-0.9000000000000001,-0.3999999999999999,0.0004924042861650966,0.00295442571699058,8,True,False,<,<,True,EXPLORATORY (judge validation study has not run),
secondary1_four_habits_A_vs_B,equity_subgroup,A vs B,four_habits_composite,20,20,-0.7619047619047619,-1.0,-0.3904761904761905,-0.7633899228954314,-1.6905018255071,-0.279653674230158,-0.6388888888888888,-0.9513888888888888,-0.33333333333333326,0.00299291733816087,0.01496458669080435,8,True,False,<,<,True,EXPLORATORY (judge validation study has not run),
secondary2_nurse_B_vs_C,equity_subgroup,B vs C,nurse_composite,20,19,-0.07368421052631578,-0.5789473684210527,0.43157894736842106,-0.06617860464367682,-0.5627313551127165,0.3757936600602081,-0.06666666666666654,-0.40000000000000036,0.26666666666666694,0.7936089115991097,1.0,8,False,False,<,<,True,EXPLORATORY (judge validation study has not run),
secondary3_nurse_C_vs_LC,equity_subgroup,C vs LC,nurse_composite,20,20,-0.17142857142857143,-0.6428571428571429,0.338214285714284,-0.14612703531977012,-0.6076400055202142,0.31158582990270073,-0.09999999999999987,-0.3999999999999997,0.2666666666666665,0.5133653859579521,1.0,8,False,False,>,<,True,EXPLORATORY (judge validation study has not run; CONFOUNDED BY SERVING STACK; THE REDUCED FORM OF THE QUESTION (D7)),"CONFOUNDED BY SERVING STACK. The LC arm was served by vLLM and condition C by Ollama: a GGUF against HF safetensors, different quantisation, different sampling defaults, different hardware, and per D13 a different realised context pack. No analysis can separate the architecture from the stack that served it, so a difference here is not attributable to long context versus retrieval. | THE REDUCED FORM OF THE QUESTION (D7). The corpus does not fit the window: the production pack admits 116/116 knowledge base entries but only 151/471 chunks. LC is a fixed, query-independent sample, not the whole corpus, and any selection rule is itself a form of retrieval. This asks whether query-dependent selection beats a fixed context — not whether curated retrieval beats stuffing everything in, which is the question build plan v3 §3 posed and this run cannot answer."
